Date,Description,Amount,Payment_Method,Category
2024-01-01,LIBRARY FEE,18224.6,Wallet,Education
2024-01-01,UPI AJIO PURCHASE BLR,11329.65,Net Banking,Shopping
2024-01-01,BANK CHARGE,6315.15,Cash,Other
2024-01-01,GIFT PURCHASE,5501.98,Credit Card,Other
2024-01-01,ACT FIBERNET TXN81122,3325.6,Cash,Bills
2024-01-01,SPOTIFY PREMIUM TXN16233,808.01,UPI,Entertainment
2024-01-01,APOLLO PHARMACY TXN81943,9682.21,Wallet,Healthcare
2024-01-01,SHOPPING MALL REF240906,6207.65,Credit Card,Shopping
2024-01-01,MEDPLUS PHARMACY,8924.42,Wallet,Healthcare
2024-01-01,INVESTMENT ACCOUNT,14862.39,Credit Card,Investment
2024-01-01,GROCERY FOOD STORE REF363572,1255.29,UPI,Food
2024-01-01,STOCK INVESTMENT REF723285,12398.51,Cash,Investment
2024-01-01,ONLINE COURSE PAYMENT REF815745,4510.45,UPI,Education
2024-01-01,UPI INDEX FUND SIP BLR,24378.04,Credit Card,Investment
2024-01-02,UPI PVR CINEMAS VIJAYAWADA,2004.85,Cash,Entertainment
2024-01-02,ATM FEE TXN15817,7102.41,Cash,Other
2024-01-02,ROOM RENT,14864.29,Wallet,Rent
2024-01-02,BOOK STORE,2543.81,Debit Card,Education
2024-01-02,ELECTRICITY BILL,3631.49,Cash,Bills
2024-01-02,UPI KFC RESTAURANT GUNTUR,476.66,UPI,Food
2024-01-02,UPI ATM FEE HYD,3776.11,Net Banking,Other
2024-01-02,UPI CASH WITHDRAWAL HYD,8561.39,UPI,Other
2024-01-02,MOVIE TICKET REF276578,3283.73,UPI,Entertainment
2024-01-02,BUS TICKET TXN25666,1329.51,Credit Card,Transport
2024-01-02,INVESTMENT ACCOUNT,13826.39,Net Banking,Investment
2024-01-02,ZOMATO FOOD ORDER REF702261,700.65,Cash,Food
2024-01-02,BUS TICKET,2480.03,Wallet,Transport
2024-01-02,UPI SPOTIFY PREMIUM HYD,2539.66,Net Banking,Entertainment
2024-01-02,DOCTOR CONSULTATION TXN10192,7710.14,Debit Card,Healthcare
2024-01-03,RESTAURANT PAYMENT,1190.47,Debit Card,Food
2024-01-03,HOUSE RENT,5085.17,UPI,Rent
2024-01-03,UPI HOSTEL RENT GUNTUR,13158.41,UPI,Rent
2024-01-03,PETROL PUMP TXN87012,2128.64,Credit Card,Transport
2024-01-03,OLA CAB TXN25612,1236.4,UPI,Transport
2024-01-03,FIXED DEPOSIT TXN27682,23510.82,Net Banking,Investment
2024-01-03,METRO TICKET TXN42244,1895.0,Net Banking,Transport
2024-01-03,RAILWAY TICKET,206.74,Wallet,Transport
2024-01-03,NETFLIX SUBSCRIPTION TXN81500,2532.13,Cash,Entertainment
2024-01-03,UPI MEESHO ORDER CHENNAI,10084.75,Wallet,Shopping
2024-01-03,RECURRING DEPOSIT,26551.51,Net Banking,Investment
2024-01-03,ENTERTAINMENT EVENT TXN39696,2751.88,Net Banking,Entertainment
2024-01-03,PHARMACY UPI,2172.14,Debit Card,Healthcare
2024-01-04,ONLINE COURSE PAYMENT,24729.65,Debit Card,Education
2024-01-04,UPI INDEX FUND SIP HYD,4694.39,Credit Card,Investment
2024-01-04,MOVIE TICKET,2083.88,Credit Card,Entertainment
2024-01-04,UPI STATIONERY STORE VIJAYAWADA,22695.25,Net Banking,Education
2024-01-04,HOSTEL FEE RENT,3475.06,Cash,Rent
2024-01-04,RESTAURANT PAYMENT TXN88386,205.47,Wallet,Food
2024-01-04,BANK CHARGE,9775.64,Debit Card,Other
2024-01-04,AJIO PURCHASE TXN62369,5354.1,Debit Card,Shopping
2024-01-04,AIRTEL RECHARGE,3441.02,Cash,Bills
2024-01-04,APOLLO PHARMACY,2619.13,Wallet,Healthcare
2024-01-05,PERSONAL TRANSFER REF246500,2686.73,Credit Card,Other
2024-01-05,HOSTEL FEE RENT REF797345,13040.69,Wallet,Rent
2024-01-05,PG RENT PAYMENT REF127625,10834.12,Cash,Rent
2024-01-05,SIP INVESTMENT,3562.55,Credit Card,Investment
2024-01-05,MEDICAL STORE TXN64357,6765.68,Net Banking,Healthcare
2024-01-06,UPI UPI TRANSFER CHENNAI,9647.47,UPI,Other
2024-01-06,CERTIFICATION EXAM,1347.09,UPI,Education
2024-01-06,BANK CHARGE TXN85889,1818.84,Debit Card,Other
2024-01-06,RECURRING DEPOSIT,9498.89,Credit Card,Investment
2024-01-06,CASH WITHDRAWAL TXN29643,8747.27,Net Banking,Other
2024-01-06,RELIANCE TRENDS TXN57277,1687.61,Credit Card,Shopping
2024-01-06,UPI UBER TRIP VIJAYAWADA,2412.54,Cash,Transport
2024-01-06,MONTHLY RENT TXN99492,14906.61,Cash,Rent
2024-01-06,UPI STATIONERY STORE CHENNAI,13245.77,Wallet,Education
2024-01-06,EYE HOSPITAL REF314498,1292.91,Credit Card,Healthcare
2024-01-06,UPI HOSTEL FEE RENT VIJAYAWADA,17433.28,UPI,Rent
2024-01-06,UPI ZOMATO FOOD ORDER GUNTUR,1618.63,Cash,Food
2024-01-06,TEA SHOP UPI TXN72336,1345.48,Debit Card,Food
2024-01-07,PERSONAL TRANSFER REF816561,3906.24,Net Banking,Other
2024-01-07,MISCELLANEOUS PAYMENT TXN67301,1699.52,Net Banking,Other
2024-01-07,CLOTHING STORE,4785.43,Cash,Shopping
2024-01-07,UPI COLLEGE FEE HYD,17139.48,Net Banking,Education
2024-01-07,AMAZON PURCHASE,5196.41,UPI,Shopping
2024-01-07,HOSTEL RENT REF113101,12944.0,Net Banking,Rent
2024-01-07,SPOTIFY PREMIUM,817.74,Credit Card,Entertainment
2024-01-07,TATA PLAY RECHARGE REF579766,4451.47,Cash,Bills
2024-01-08,AUTO RICKSHAW UPI,1549.03,Wallet,Transport
2024-01-08,UBER TRIP REF379005,2262.84,Wallet,Transport
2024-01-08,MUTUAL FUND INVESTMENT,5819.81,Credit Card,Investment
2024-01-08,MOBILE POSTPAID BILL REF364818,2352.8,Debit Card,Bills
2024-01-08,UPI TRANSFER REF321321,5247.23,Net Banking,Other
2024-01-08,GAS BILL PAYMENT,1725.1,Debit Card,Bills
2024-01-08,HOSPITAL PAYMENT TXN60903,3868.51,Cash,Healthcare
2024-01-08,HOSTEL FEE RENT,7904.7,Credit Card,Rent
2024-01-08,UPI LIBRARY FEE CHENNAI,6446.68,Net Banking,Education
2024-01-08,ATM FEE,7457.04,Credit Card,Other
2024-01-08,FIXED DEPOSIT TXN52948,21677.64,UPI,Investment
2024-01-08,INDEX FUND SIP,16634.69,Credit Card,Investment
2024-01-08,AIRTEL RECHARGE,180.77,UPI,Bills
2024-01-08,HEALTH CHECKUP REF404289,1190.57,UPI,Healthcare
2024-01-09,RAPIDO RIDE,2449.24,Wallet,Transport
2024-01-09,UPI LIBRARY FEE HYD,15117.38,Net Banking,Education
2024-01-09,UPI SPOTIFY PREMIUM HYD,601.17,Credit Card,Entertainment
2024-01-09,SWIGGY ORDER TXN22217,1701.14,Credit Card,Food
2024-01-09,GIFT PURCHASE REF361281,1619.05,Cash,Other
2024-01-09,GIFT PURCHASE REF587546,6564.84,UPI,Other
2024-01-09,PHARMACY UPI TXN48150,3751.42,Cash,Healthcare
2024-01-09,OLA CAB REF186308,2394.7,Debit Card,Transport
2024-01-10,SHOPPING MALL,357.27,Net Banking,Shopping
2024-01-10,ROOM RENT,12199.24,Credit Card,Rent
2024-01-10,PERSONAL TRANSFER,495.06,Cash,Other
2024-01-10,APARTMENT RENT,8617.19,Net Banking,Rent
2024-01-10,MOVIE TICKET,3190.58,Net Banking,Entertainment
2024-01-11,RELIANCE TRENDS TXN84752,5898.16,Cash,Shopping
2024-01-11,COURSERA COURSE TXN68104,5644.75,Cash,Education
2024-01-11,UPI YOUTUBE PREMIUM GUNTUR,506.61,Wallet,Entertainment
2024-01-11,MYNTRA SHOPPING REF892470,14978.6,Net Banking,Shopping
2024-01-11,LIBRARY FEE,13614.44,Debit Card,Education
2024-01-11,HOSTEL RENT,11005.04,Wallet,Rent
2024-01-11,UPI MOVIE TICKET CHENNAI,1087.61,Wallet,Entertainment
2024-01-11,ATM FEE TXN87020,5154.0,Cash,Other
2024-01-11,INVESTMENT ACCOUNT,24712.3,Cash,Investment
2024-01-11,UPI INVESTMENT ACCOUNT BLR,4021.71,Debit Card,Investment
2024-01-11,UPI RECURRING DEPOSIT HYD,21132.16,Debit Card,Investment
2024-01-11,HOSTEL FEE RENT,8514.78,Net Banking,Rent
2024-01-11,COLLEGE FEE,3725.05,Wallet,Education
2024-01-11,FIXED DEPOSIT TXN23470,17106.15,Net Banking,Investment
2024-01-12,UPI INVESTMENT ACCOUNT HYD,20306.07,Wallet,Investment
2024-01-12,RAILWAY TICKET TXN76108,87.72,UPI,Transport
2024-01-12,ELECTRICITY BILL TXN22695,316.03,Cash,Bills
2024-01-12,VI MOBILE RECHARGE REF321422,570.43,Net Banking,Bills
2024-01-12,VI MOBILE RECHARGE,520.33,Wallet,Bills
2024-01-12,YOUTUBE PREMIUM,2079.14,Net Banking,Entertainment
2024-01-12,SHOPPING MALL,1953.83,Debit Card,Shopping
2024-01-12,HOTSTAR SUBSCRIPTION REF349225,2232.2,Credit Card,Entertainment
2024-01-12,AMAZON PRIME TXN25616,216.7,Wallet,Entertainment
2024-01-12,WATER BILL REF314343,4484.08,Credit Card,Bills
2024-01-12,UPI UDEMY COURSE HYD,10759.86,Cash,Education
2024-01-12,CAFE COFFEE DAY,1412.38,Net Banking,Food
2024-01-13,HOUSE RENT REF374320,17409.42,Wallet,Rent
2024-01-13,HOTSTAR SUBSCRIPTION REF597793,1478.51,Wallet,Entertainment
2024-01-13,SIP INVESTMENT,28854.95,Wallet,Investment
2024-01-13,CAFE COFFEE DAY,244.45,Credit Card,Food
2024-01-13,GROCERY FOOD STORE TXN61374,364.87,Net Banking,Food
2024-01-13,SWIGGY ORDER TXN61786,53.4,Wallet,Food
2024-01-13,HEALTH CHECKUP,9179.9,Wallet,Healthcare
2024-01-13,RECURRING DEPOSIT,2545.42,Wallet,Investment
2024-01-13,INOX MOVIES,3055.2,Net Banking,Entertainment
2024-01-14,UPI DONATION PAYMENT GUNTUR,4936.14,Cash,Other
2024-01-14,METRO TICKET,1381.58,Debit Card,Transport
2024-01-14,JIO RECHARGE REF618631,455.57,Wallet,Bills
2024-01-14,UPI CAFE COFFEE DAY BLR,1306.23,Debit Card,Food
2024-01-14,UPI BANK CHARGE HYD,2131.68,Net Banking,Other
2024-01-14,ROOM RENT TXN51252,7921.31,Credit Card,Rent
2024-01-14,HOSTEL FEE RENT,12073.33,Cash,Rent
2024-01-14,APARTMENT RENT,8567.47,UPI,Rent
2024-01-14,MYNTRA SHOPPING TXN69666,2213.32,Wallet,Shopping
2024-01-14,BUS TICKET REF563421,38.72,Debit Card,Transport
2024-01-14,MISCELLANEOUS PAYMENT REF480949,2359.29,Debit Card,Other
2024-01-15,UPI INDEX FUND SIP HYD,15185.58,Cash,Investment
2024-01-15,FIXED DEPOSIT REF574528,26754.24,UPI,Investment
2024-01-15,GAME PURCHASE TXN21836,3183.45,Credit Card,Entertainment
2024-01-15,UPI PHARMACY UPI HYD,4120.07,Cash,Healthcare
2024-01-15,GROCERY FOOD STORE TXN77591,140.56,UPI,Food
2024-01-15,JIO RECHARGE TXN27436,4856.27,Credit Card,Bills
2024-01-15,COURSERA COURSE,16436.95,Wallet,Education
2024-01-15,UPI BOOK STORE VIJAYAWADA,11816.75,Cash,Education
2024-01-15,METRO TICKET TXN28894,581.0,Credit Card,Transport
2024-01-15,UPI TEA SHOP UPI CHENNAI,218.06,Cash,Food
2024-01-15,INDIAN OIL PETROL,2362.88,Net Banking,Transport
2024-01-15,DOCTOR CONSULTATION,6002.99,Credit Card,Healthcare
2024-01-15,UPI CASH WITHDRAWAL HYD,4227.01,Cash,Other
2024-01-15,UPI GROCERY FOOD STORE VIJAYAWADA,593.81,Cash,Food
2024-01-16,AIRTEL RECHARGE,4610.78,Credit Card,Bills
2024-01-16,CASH WITHDRAWAL,1135.04,UPI,Other
2024-01-16,STOCK INVESTMENT,15995.98,Debit Card,Investment
2024-01-16,UPI HP FUEL STATION VIJAYAWADA,842.7,Cash,Transport
2024-01-16,UPI DMART PURCHASE HYD,9754.39,Debit Card,Shopping
2024-01-16,PG RENT PAYMENT TXN49739,24054.43,Debit Card,Rent
2024-01-16,ZOMATO FOOD ORDER,1462.78,Credit Card,Food
2024-01-16,JIO RECHARGE,2756.09,Credit Card,Bills
2024-01-16,ENTERTAINMENT EVENT,1759.01,Cash,Entertainment
2024-01-17,FIXED DEPOSIT TXN33556,21459.17,UPI,Investment
2024-01-17,HP FUEL STATION TXN85246,569.88,Wallet,Transport
2024-01-17,UPI DOMINOS PIZZA VIJAYAWADA,1605.69,UPI,Food
2024-01-17,PHARMACY UPI REF364966,1111.82,Wallet,Healthcare
2024-01-17,UPI STATIONERY STORE CHENNAI,23941.79,Wallet,Education
2024-01-17,MEESHO ORDER,3742.93,Debit Card,Shopping
2024-01-17,TEA SHOP UPI,601.99,Net Banking,Food
2024-01-17,PG RENT PAYMENT,23503.95,Wallet,Rent
2024-01-17,UPI ENTERTAINMENT EVENT HYD,2572.19,Net Banking,Entertainment
2024-01-17,OLA CAB,1802.31,Wallet,Transport
2024-01-17,CAFE COFFEE DAY,397.73,Debit Card,Food
2024-01-17,SPOTIFY PREMIUM REF515892,888.4,Cash,Entertainment
2024-01-18,FIXED DEPOSIT REF233825,27835.71,UPI,Investment
2024-01-18,RAILWAY TICKET TXN53246,1301.95,Cash,Transport
2024-01-18,AUTO RICKSHAW UPI TXN58688,2758.07,Credit Card,Transport
2024-01-18,INVESTMENT ACCOUNT TXN59664,9881.06,Cash,Investment
2024-01-18,HOSTEL RENT TXN77177,19125.06,Credit Card,Rent
2024-01-18,UPI APARTMENT RENT BLR,5827.79,UPI,Rent
2024-01-18,HOUSE RENT REF377912,17879.77,Cash,Rent
2024-01-18,SPOTIFY PREMIUM,738.34,Debit Card,Entertainment
2024-01-18,INOX MOVIES REF342176,2626.47,Wallet,Entertainment
2024-01-18,PG RENT PAYMENT,22905.74,Debit Card,Rent
2024-01-18,UBER TRIP REF308200,2208.01,Net Banking,Transport
2024-01-18,STOCK INVESTMENT REF939742,11795.72,Net Banking,Investment
2024-01-19,MUTUAL FUND INVESTMENT,15500.41,Credit Card,Investment
2024-01-19,BANK CHARGE TXN64860,2914.3,Cash,Other
2024-01-19,EXAM FEE REF817678,17763.43,Credit Card,Education
2024-01-19,UPI APARTMENT RENT VIJAYAWADA,15250.27,Credit Card,Rent
2024-01-19,UPI YOUTUBE PREMIUM CHENNAI,3175.08,Wallet,Entertainment
2024-01-19,UPI TEA SHOP UPI CHENNAI,1002.19,UPI,Food
2024-01-19,ELECTRONICS STORE TXN91062,14058.89,Net Banking,Shopping
2024-01-19,ROOM RENT REF198984,6044.9,Debit Card,Rent
2024-01-19,WATER BILL,111.1,Net Banking,Bills
2024-01-19,CLOTHING STORE TXN58874,5307.82,Wallet,Shopping
2024-01-19,JIO RECHARGE TXN49666,5311.59,Cash,Bills
2024-01-19,UPI MISCELLANEOUS PAYMENT BLR,261.62,Wallet,Other
2024-01-19,APOLLO PHARMACY,2221.24,UPI,Healthcare
2024-01-20,MEESHO ORDER TXN10662,6167.02,Net Banking,Shopping
2024-01-20,UBER TRIP TXN89920,1170.29,Net Banking,Transport
2024-01-20,UPI INOX MOVIES CHENNAI,2584.28,UPI,Entertainment
2024-01-20,ONLINE COURSE PAYMENT REF277600,18131.84,Wallet,Education
2024-01-20,INVESTMENT ACCOUNT,4352.11,Net Banking,Investment
2024-01-20,TRAINING PROGRAM REF506426,15788.95,Cash,Education
2024-01-20,HOSTEL FEE RENT REF730222,24698.16,Debit Card,Rent
2024-01-21,INDIAN OIL PETROL REF603467,2306.89,Wallet,Transport
2024-01-21,ZOMATO FOOD ORDER REF343923,1102.91,Cash,Food
2024-01-21,UPI GAS BILL PAYMENT HYD,312.84,Cash,Bills
2024-01-21,DIAGNOSTIC LAB TXN37587,365.33,UPI,Healthcare
2024-01-21,AUTO RICKSHAW UPI REF247561,84.2,Credit Card,Transport
2024-01-21,RAPIDO RIDE TXN87483,1891.08,Debit Card,Transport
2024-01-21,HEALTH CHECKUP,9925.29,UPI,Healthcare
2024-01-21,VI MOBILE RECHARGE,1810.07,Cash,Bills
2024-01-21,STOCK INVESTMENT,24479.6,Net Banking,Investment
2024-01-21,UPI ONLINE COURSE PAYMENT VIJAYAWADA,11371.61,Net Banking,Education
2024-01-21,UPI UPI TRANSFER GUNTUR,2238.52,Cash,Other
2024-01-21,RECURRING DEPOSIT TXN33173,9368.91,Cash,Investment
2024-01-21,WATER BILL TXN53808,3226.77,Wallet,Bills
2024-01-21,MUTUAL FUND INVESTMENT REF644094,26024.52,Credit Card,Investment
2024-01-21,STOCK INVESTMENT REF857568,14832.34,UPI,Investment
2024-01-21,AIRTEL RECHARGE,3318.94,Wallet,Bills
2024-01-21,UPI TRANSFER,3227.27,Credit Card,Other
2024-01-21,OLA CAB TXN25003,1032.65,Cash,Transport
2024-01-21,BOOK STORE,6222.91,Wallet,Education
2024-01-22,ACT FIBERNET REF507369,5593.02,UPI,Bills
2024-01-22,UPI AMAZON PRIME VIJAYAWADA,2362.83,Net Banking,Entertainment
2024-01-22,MISCELLANEOUS PAYMENT,1998.54,Cash,Other
2024-01-22,GIFT PURCHASE REF155964,8777.4,Debit Card,Other
2024-01-22,GOLD SAVINGS TXN95619,24231.64,Cash,Investment
2024-01-22,PERSONAL TRANSFER REF319807,6664.16,Credit Card,Other
2024-01-22,UPI ZOMATO FOOD ORDER BLR,1077.47,Wallet,Food
2024-01-22,VI MOBILE RECHARGE REF411210,1537.71,Cash,Bills
2024-01-23,UPI MCDONALDS ORDER VIJAYAWADA,1547.51,Wallet,Food
2024-01-23,INOX MOVIES,1282.8,Debit Card,Entertainment
2024-01-23,INDEX FUND SIP,27827.32,UPI,Investment
2024-01-23,JIO RECHARGE TXN96874,5619.82,Net Banking,Bills
